#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
226,Kohl Drake,ARI,1,1,4.63,3,3,0,0,,18.0,79,18,10,9,3,7,,1,16,7.86,3.62,1.38,20.3%,9.4%,1
227,JP Sears,SDP,2,1,4.64,27,5,0,1,,47.0,199,45,27,24,8,14,,2,39,7.41,2.62,1.25,19.6%,6.9%,3
228,Tanner McDougal,CHW,2,1,4.82,19,5,0,1,,37.0,164,36,22,20,5,20,,2,31,7.48,4.81,1.49,18.9%,12.1%,3
229,Bryse Wilson,PHI,2,1,4.93,14,3,0,1,,32.0,136,33,19,17,5,10,,1,23,6.45,2.82,1.36,16.7%,7.3%,2
230,JR Ritchie,ATL,1,1,4.60,3,3,0,0,,18.0,81,18,10,9,3,8,,1,16,7.60,3.72,1.42,19.1%,9.4%,1
231,Mitch Farris,LAA,1,2,5.00,5,5,0,0,,25.0,112,25,15,14,4,12,,1,22,7.80,4.16,1.45,19.6%,10.4%,2
232,McCade Brown,COL,1,2,5.29,11,3,0,1,,24.0,110,25,16,14,4,12,,1,23,8.63,4.52,1.55,21.1%,11.1%,1
233,Spencer Turnbull,,2,3,5.16,6,6,0,0,,36.0,159,38,22,20,5,16,,2,25,6.41,4.02,1.50,16.0%,10.0%,3
234,Antonio Senzatela,COL,4,2,5.86,50,8,0,1,,86.0,388,105,61,56,14,33,,4,53,5.62,3.43,1.61,13.8%,8.4%,4
235,Trey Gibson,BAL,0,1,4.23,2,2,0,0,,7.0,30,7,4,3,1,3,,0,7,8.28,3.59,1.30,22.4%,9.7%,1
236,Julian Garcia,CIN,0,0,4.24,1,1,0,0,,5.1,20,4,3,3,1,2,0,0,5,7.77,2.95,1.13,23.4%,8.9%,0
